idx,x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
107,service,laser,excilite,,, - ,LASER EXCILITE - Ariolas - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Ariolas,Alopecias,-1,1 sesion,30 min,1200,1000,800,,,
108,service,laser,excilite,,, - ,LASER EXCILITE - Axilas - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Axilas,Alopecias,-1,1 sesion,30 min,1200,1000,800,,,
109,service,laser,excilite,,, - ,LASER EXCILITE - Pecho - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Pecho,Alopecias,-1,1 sesion,30 min,1200,1000,800,,,
110,service,laser,excilite,,, - ,LASER EXCILITE - Abdomen - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Abdomen,Alopecias,-1,1 sesion,30 min,1200,1000,800,,,
111,service,laser,excilite,,, - ,LASER EXCILITE - Brazos - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Brazos,Alopecias,-1,1 sesion,30 min,1200,1000,800,,,
112,service,laser,excilite,,, - ,LASER EXCILITE - Espalda - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Espalda,Alopecias,-1,1 sesion,30 min,1200,1000,800,,,
113,service,laser,excilite,,, - ,LASER EXCILITE - Gluteos - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Gluteos,Alopecias,-1,1 sesion,30 min,1200,1000,800,,,
114,service,laser,excilite,,, - ,LASER EXCILITE - Hombros - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Hombros,Alopecias,-1,1 sesion,30 min,1200,1000,800,,,
115,service,laser,excilite,,, - ,LASER EXCILITE - Manos - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Manos,Alopecias,-1,1 sesion,30 min,1200,1000,800,,,
116,service,laser,excilite,,, - ,LASER EXCILITE - Piernas - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Piernas,Alopecias,-1,1 sesion,30 min,1200,1000,800,,,
117,service,laser,excilite,,, - ,LASER EXCILITE - Pies - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Pies,Alopecias,-1,1 sesion,30 min,1200,1000,800,,,
118,service,laser,excilite,,, - ,LASER EXCILITE - Rostro - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Rostro,Vitiligo,-1,6 sesiones,5 min,2500,1500,1200,250,,
119,service,laser,excilite,,, - ,LASER EXCILITE - Cuello - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Cuello,Vitiligo,-1,6 sesiones,5 min,2500,1500,1200,250,,
120,service,laser,excilite,,, - ,LASER EXCILITE - Ariolas - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Ariolas,Vitiligo,-1,6 sesiones,5 min,2500,1500,1200,250,,
121,service,laser,excilite,,, - ,LASER EXCILITE - Axilas - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Axilas,Vitiligo,-1,6 sesiones,5 min,2500,1500,1200,250,,
122,service,laser,excilite,,, - ,LASER EXCILITE - Pecho - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Pecho,Vitiligo,-1,6 sesiones,5 min,2500,1500,1200,250,,
123,service,laser,excilite,,, - ,LASER EXCILITE - Abdomen - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Abdomen,Vitiligo,-1,6 sesiones,5 min,2500,1500,1200,250,,
124,service,laser,excilite,,, - ,LASER EXCILITE - Brazos - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Brazos,Vitiligo,-1,6 sesiones,5 min,2500,1500,1200,250,,
125,service,laser,excilite,,, - ,LASER EXCILITE - Espalda - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Espalda,Vitiligo,-1,6 sesiones,5 min,2500,1500,1200,250,,
126,service,laser,excilite,,, - ,LASER EXCILITE - Gluteos - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Gluteos,Vitiligo,-1,6 sesiones,5 min,2500,1500,1200,250,,
127,service,laser,excilite,,, - ,LASER EXCILITE - Hombros - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Hombros,Vitiligo,-1,6 sesiones,5 min,2500,1500,1200,250,,
128,service,laser,excilite,,, - ,LASER EXCILITE - Manos - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Manos,Vitiligo,-1,6 sesiones,5 min,2500,1500,1200,250,,
129,service,laser,excilite,,, - ,LASER EXCILITE - Piernas - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Piernas,Vitiligo,-1,6 sesiones,5 min,2500,1500,1200,250,,
130,service,laser,excilite,,, - ,LASER EXCILITE - Pies - Vitiligo - 6 sesiones - 5 min,LASER EXCILITE,Pies,Vitiligo,-1,6 sesiones,5 min,2500,1500,1200,250,,
131,service,laser,excilite,,, - ,LASER EXCILITE - Rostro - Vitiligo - 6 sesiones - 15 min,LASER EXCILITE,Rostro,Vitiligo,-1,6 sesiones,15 min,4000,3000,2400,500,,
132,service,laser,excilite,,, - ,LASER EXCILITE - Cuello - Vitiligo - 6 sesiones - 15 min,LASER EXCILITE,Cuello,Vitiligo,-1,6 sesiones,15 min,4000,3000,2400,500,,
133,service,laser,excilite,,, - ,LASER EXCILITE - Ariolas - Vitiligo - 6 sesiones - 15 min,LASER EXCILITE,Ariolas,Vitiligo,-1,6 sesiones,15 min,4000,3000,2400,500,,
134,service,laser,excilite,,, - ,LASER EXCILITE - Axilas - Vitiligo - 6 sesiones - 15 min,LASER EXCILITE,Axilas,Vitiligo,-1,6 sesiones,15 min,4000,3000,2400,500,,
135,service,laser,excilite,,, - ,LASER EXCILITE - Pecho - Vitiligo - 6 sesiones - 15 min,LASER EXCILITE,Pecho,Vitiligo,-1,6 sesiones,15 min,4000,3000,2400,500,,
136,service,laser,excilite,,, - ,LASER EXCILITE - Abdomen - Vitiligo - 6 sesiones - 15 min,LASER EXCILITE,Abdomen,Vitiligo,-1,6 sesiones,15 min,4000,3000,2400,500,,
137,service,laser,excilite,,, - ,LASER EXCILITE - Brazos - Vitiligo - 6 sesiones - 15 min,LASER EXCILITE,Brazos,Vitiligo,-1,6 sesiones,15 min,4000,3000,2400,500,,
138,service,laser,excilite,,, - ,LASER EXCILITE - Espalda - Vitiligo - 6 sesiones - 15 min,LASER EXCILITE,Espalda,Vitiligo,-1,6 sesiones,15 min,4000,3000,2400,500,,
139,service,laser,excilite,,, - ,LASER EXCILITE - Gluteos - Vitiligo - 6 sesiones - 15 min,LASER EXCILITE,Gluteos,Vitiligo,-1,6 sesiones,15 min,4000,3000,2400,500,,
140,service,laser,excilite,,, - ,LASER EXCILITE - Hombros - Vitiligo - 6 sesiones - 15 min,LASER EXCILITE,Hombros,Vitiligo,-1,6 sesiones,15 min,4000,3000,2400,500,,
141,service,laser,excilite,,, - ,LASER EXCILITE - Manos - Vitiligo - 6 sesiones - 15 min,LASER EXCILITE,Manos,Vitiligo,-1,6 sesiones,15 min,4000,3000,2400,500,,
142,service,laser,excilite,,, - ,LASER EXCILITE - Piernas - Vitiligo - 6 sesiones - 15 min,LASER EXCILITE,Piernas,Vitiligo,-1,6 sesiones,15 min,4000,3000,2400,500,,
143,service,laser,excilite,,, - ,LASER EXCILITE - Pies - Vitiligo - 6 sesiones - 15 min,LASER EXCILITE,Pies,Vitiligo,-1,6 sesiones,15 min,4000,3000,2400,500,,
